issue_id,priority,title,files,change,acceptance,dependencies_and_effort,additional_scope,status,owner
B01,P0,publish an honest capability/evidence table,"`README.md`, `pyproject.toml`, **new** `docs/claims.md`; demo output strings.",replace production/zero-shot claims with scoped research status; show implemented/tested/calibrated/validated and synthetic/real status per feature. Generate test badges from CI. Preserve “inspired” attribution.,every numeric/compatibility claim links to an artifact or is explicitly unverified/planned; no invented test count. Audit A13; REP-01.,none; 0.5–1 day.,,PLANNED,
B02,P0,fail-closed benchmark provenance,"`validation_framework/{benchmarks,aerodynamic_benchmarks,flight_log_validator}.py`, `battery_twin/nasa_adapter.py`, OpenFOAM training export; **new** manifest/status contracts.",REAL/SYNTHETIC/INVALID/MISSING status cannot be overwritten by fallback; real-mode missing data cannot score. Remove truth-derived synthetic sensors from measured-data paths.,"V00 negative tests cover missing files, parse failures, wrong checksum and synthetic inputs. A07/A08/A10/A12; DAT-01/02.",B01; 2–4 days.,,PLANNED,
B03,P0,"frames, clocks and stream contracts","`state_manager/schema.py`, `store.py`, telemetry source/recorder, core outputs; **new** `contracts/`.","document NED/FRD quaternion/specific-force semantics; preserve acquisition/receive clocks; separate estimate, prediction, truth, intent and applied actuation.",V01/V04 frame/time/schema tests; invalid/wrong-asset/nonfinite data rejected; no command target masquerading as measurement. A03/A04/A06; CFG-01/DAT-02/03.,B01; 3–5 days.,,PLANNED,
B04,P0,correct rigid-body dynamics before tuning,"`digital_twin_core/twin_model.py`; **new** `physics/{frames,rigid_body,rotors}.py` and verification tests.","NED force/gravity, quaternion rotation, full inertia Euler equation, rotor position/spin contract, mass-independent actuator limits, valid dt/input policy.",V01 free-fall/hover/tilt/torque-free/reference integration tests; no copied self-reference oracle. A01; PHY-01.,B03; 3–6 days.,,PLANNED,
B05,P0,correct estimator measurement equations,"`digital_twin_core/estimator.py`, estimator tests.",magnetic-field observation/Jacobian and disturbance gate; explicit specific-force; review error-state injection/reset covariance; quality/validity and GPS status handling.,known-heading counterexample now corrects; stationary/biased IMU and covariance regressions; invalid sensors do not produce healthy valid output. A03; EST-01.,B03; 3–6 days.,,PLANNED,
B06,P0,fix battery voltage scoring and loading,"`battery_twin/nasa_adapter.py`, model tests.","`v_terminal` access; test actual model dependence, not fallback constants; correct state reset/initial conditions and cell/pack scale; fixture-controlled parse failure status.",deliberate model-voltage perturbation changes score; invalid source cannot return REAL. A07; ENG-01/DAT-01.,B02; 1–2 days.,,PLANNED,
B07,P0,disable unsafe/unjustified adaptation,"`digital_twin_core/recalibrator.py`, orchestration.",offline/manual by default; freeze unidentifiable mass/thrust updates; correct frame conversion; log rejection reasons; prohibit silent in-place promotion.,insufficient excitation and stale/invalid data lead to no update. A04; ID-01/SAF-01.,B03–B05; 1–3 days.,,PLANNED,
B08,P0,basic package/CI and deterministic regression gate,"`pyproject.toml`, `setup.py`, `.github/workflows/`, tests.",select/test supported Python versions; install core and extras in clean environments; correct `all` semantics; dependency lock or reproducible constraints; warning policy; seeded tests.,"core regression suite runs without optional hardware/ML; required integration skips are visible, not passes; README install verified. A13; REP-02.",B01; 2–3 days.,,PLANNED,
B09,P1,reference asset and component mass model,"`cad_engine`, **new** `configuration/`, `configs/vehicles/`, `hardware/BOM` and drawings.","measured asset identity, complete components/transforms, mass/CG/full inertia, invalid-mesh handling and explicit approximation labels.",V02 analytic orientation/translation tests and actual mass/CG check; no dropped products of inertia. A09; CFG-01/02.,B03/B04; 3–6 days plus measurement access.,,PLANNED,
B10,P1,deterministic real-log replay,"`validation_framework` loaders, telemetry recorder; **new** replay service and data manifests.",implement one real PX4 ULog or strict measured CSV path first; separate reference/sensors/outputs; clock alignment and reproducible replay. EuRoC native VIO task is a separate optional adapter.,V04/V05 real run with source trace; never generate GPS from truth; explicit missing signals. A12; DAT-02/03/04/INT-01.,B02/B03/B08; 4–7 days.,,PLANNED,
B11,P1,installed propulsion baseline,"**new** `physics/actuators.py`, propulsion calibration and experiment definitions; BEMT adapter.",authentic UIUC ingestion and measured interpolation baseline; installed RPM/command/voltage/thrust/power map; explicit motor lag and uncertainty.,V03 held-out curves with residuals; geometry/RPM/source matched. A10; PHY-02/03.,B02/B04/B09; 4–8 days plus safe bench campaign.,,PLANNED,
B12,P1,pack-specific ECM/energy baseline,"`battery_twin`, **new** calibration/profile loaders.","real pack topology and current/voltage/temperature calibration; identifiable ECM parameters, SOC initial condition and thermal assumptions; integrate electrical Wh.",V07 measured held-out profiles; voltage and energy separately scored with uncertainty; no NASA-to-pack validation shortcut. ENG-01.,B06/B10/B11; 4–8 days plus measurement access.,,PLANNED,
B13,P1,shared plant and core orchestration,"`digital_twin_core/__init__.py`, `twin_model.py`, wrapper interfaces.",same corrected kernel and configuration for offline replay/twin; explicit reseeding/horizons; synchronized estimate/plant publication; prediction input lineage.,V01/V04 identical kernel semantics across wrappers; no observation overwrite counted as forecast accuracy. PHY-01/INT-01.,B04/B05/B09–B12; 3–5 days.,,PLANNED,
B14,P1,baseline benchmark and prospective-information boundary,"`validation_framework`, **new** `experiments/energy_forecast/`.",nominal fixed vs offline-calibrated fixed; command-replay and prospective forecast are different tasks; run/configuration holdout.,"V11 report with per-run error, bias, counts and failures; actual future commands not used in a claimed prospective forecast. ENG-02/ID-02.",B10–B13; 3–6 days.,,PLANNED,
B15,P1,useful uncertainty and applicability,"**new** `uncertainty/`, core/report schemas.","input/parameter sensitivity, practical bootstrap/ensemble or residual calibration; validity domain; shared-sensor correlation assumptions; explicit unknown state.","held-out coverage and width, OOD flag and frozen adaptation. UQ-01/02.",B14; 3–6 days.,,PLANNED,
B16,P1,engineering cockpit and automated report,"`dashboard`, **new** report templates/CLI.","plots for aligned physical estimate, prediction, residual, energy/voltage interval and evidence; config/model/data links; no UI-only scope explosion.",generated report from a fresh environment; every chart has units/source/conditions; unknown data not green. UI-01/02/INT-01.,B10/B14/B15; 3–5 days.,,PLANNED,
B17,P1,one measured design decision and release,"**new** `experiments/design_trade/`, technical report, release metadata, demo and portfolio assets.","prerecord a safe propeller/payload/frame choice prediction; measure result; publish limitations, requirement status and personal contribution.",V12 and Gate G3; tagged reproducible release and concise six-minute demo. ENG-03/REP-02.,B09–B16; 3–6 days plus physical test scheduling.,,PLANNED,
B18,P2,bounded identification and rollback,**new** `identification/`; replacement recalibrator adapter.,"designed excitation, rank/conditioning, constrained fit, candidate/active models, holdout promotion, bounded changes, rollback and fault freeze.",V06 identifiable and intentionally unidentifiable cases; updated model beats or honestly fails fixed baseline. ID-03.,B07/B14/B15; 6–12 days.,,PLANNED,
B19,P2,real PX4/MAVLink transport and safety gateway,"`mission_planner/sinks.py`, `mavlink_bridge`, **new** `safety/`, SITL integration tests.","actual transport, heartbeat/target/mode/freshness checks; proper command ACK vs streaming semantics; configured autopilot failsafes; no hardwired disarm-on-timeout.","V13 peer log, packet decode, link-loss/startup tests; default demos remain read-only. A05; INT-02/SAF-02.",B03/B08/B13; 5–10 days.,,PLANNED,
B20,P2,"true Gym wrapper, only then RL experiments",`rl_controller/__init__.py` split into wrappers/rewards/randomization.,"actual Gym spaces/checker, shared dynamics, independent seeded RNGs, implemented latency/wind/motor/drag parameters, controller baseline.",API and deterministic seed tests; each randomized parameter measurably affects the intended mechanism. No sim-to-real claim from training reward. A02.,"B13; 3–6 days, excluding policy research.",,PLANNED,
B21,P2,BEMT model credibility,"`cad_engine/bemt.py`, polar loaders and validation cases.","continuous/consistent hover-forward formulation, Reynolds-dependent polars as available, convergence diagnostics, no silent clipping-as-success.","V03 matched CT/CP/efficiency sweeps, error/uncertainty and failure regions. A10; PHY-03.",B11; 5–10 days.,,PLANNED,
B22,P2,repair and prove one OpenFOAM pipeline,`openfoam_bridge/__init__.py` split into case writer/runner/parser; solver container and canonical cases.,"correct dimensions/flow/reference values; declared distribution/version; checkMesh, patch/location validation, residual and force-convergence gates; prohibit bad training rows.",V08 real solver artifact and mesh study; no claim from generated dictionaries alone. A08; PHY-04.,B02/B08/B09; 6–12 days plus compute time.,,PLANNED,
B23,P2,assembled frame model and test correlation,"`structural_twin`, structural CAD/fixture/measurement files.","full frame/joints/installed masses, material assumptions, static/modal solutions and observable mode shapes; compare measured baseline, not only self-model reference.",V09 frequency/deflection evidence with repeatability and joint/material limitations. A11; PHY-05.,B09; 8–15 days plus lab access.,,PLANNED,
B24,P2,health indicators without invented RUL,"`residual_monitor.py`, `predictive_maintenance`, structural health interface.","domain/quality-aware thresholds, debounce, unknown class, hypothesis labels; residual and vibration/electrical evidence; labelled replay/bench events.",V10 false alarms/misses/delay; fatigue/RUL disabled or clearly research-only without material/lifetime data. HLT-01.,B15/B18/B23 as applicable; 4–8 days.,,PLANNED,
B25,P2,own-aircraft flight correlation / HITL,"hardware interface and operating procedures, data manifests and flight test reports.",first prove actual controller loop in supervised HITL; separately review physical shadow-flight test; suitable truth/telemetry reference and safety plan.,Gate G4 with external peer/hardware evidence; no inference from serialization or synthetic logs.,B19 and local authorization; 5–12 engineering days plus potentially substantial scheduling/training.,,PLANNED,
B26,P3,preregister and execute one novelty study,,,claim survives appropriate evaluation or negative result is transparently published. Depends B17/B18; 15–30+ days plus data acquisition.,,"- Select identification-gated forecasting or coupled design, not both by default. Include strong fixed and data-driven baselines, ablations, locked test set and uncertainty. **Done:** claim survives appropriate evaluation or negative result is transparently published. Depends B17/B18; 15–30+ days plus data acquisition.",PLANNED,
B27,P3,release an externally reproducible benchmark,,,another person rebuilds central figures or reproducibility blockers are documented. Depends B17/B26; 4–8 days.,,"- Versioned licensed data, configurations, calibration sheets, schemas, notebooks/CLI, container and contribution statement; archive release and request independent reproduction. **Done:** another person rebuilds central figures or reproducibility blockers are documented. Depends B17/B26; 4–8 days.",PLANNED,
B28,P3,evaluate surrogates only if useful,,,measured benefit over simpler baseline or defer. Depends B21/B22; 5–15+ days.,,"- Compare interpolation, polynomial regression, Gaussian process and neural/PINN candidates at equal data budgets; test runtime/accuracy/OOD. Use the term PINN only for an explicitly described physics-constrained objective. **Done:** measured benefit over simpler baseline or defer. Depends B21/B22; 5–15+ days.",PLANNED,
B29,P3,optional F Prime/ROS/vision integration,,,byte/semantic/peer test and documented bounds. Effort requires a separate mini-PRD before starting.,,- Independent scoped examples with external peers/sensor files and clear compatibility claims. Fix command-to-telemetry contamination if adapter retained. No mandatory dependency for core energy result. **Done:** byte/semantic/peer test and documented bounds. Effort requires a separate mini-PRD before starting.,PLANNED,
B30,P3,optional material fatigue/lifetime study,,,"defensible life-uncertainty study, not generic percentages. Multi-month research; not R1/R2 critical path.",,"- Validated rainflow, load spectra, material/layup/R-ratio data, environment/mean-stress assumptions and longitudinal validation; do not equate anomaly score to RUL. **Done:** defensible life-uncertainty study, not generic percentages. Multi-month research; not R1/R2 critical path.",PLANNED,
