requirement_id,priority,requirement,acceptance,status,evidence_link
CFG-01,P0,"Versioned `VehicleConfig` defines asset ID, component IDs, body frame, rotor positions/directions, SI units, measured/assumed values and uncertainties","Schema rejects missing safety-critical geometry, invalid units and nonphysical mass/inertia; V01/V02",PLANNED,
CFG-02,P1,"Assembly mass pipeline includes frame, motors, props, ESCs, battery, payload, fasteners and wiring",Full CG and inertia retained through dynamics; mesh validity exposed; V02,PLANNED,
DAT-01,P0,"Dataset manifest records source, permission/license, checksum, acquisition, calibration, splits and status",Real-data run fails or returns NOT_SCORED if data are missing; V00,PLANNED,
DAT-02,P0,"Separate raw sensors, onboard estimates, twin predictions, reference truth, command intent and applied actuation",Test detects any truth-derived synthetic sensor entering a real score; V00/V05,PLANNED,
DAT-03,P0,Preserve acquisition/receive/simulation time and clock mapping uncertainty,"Reordering, lag and reset tests have deterministic outcomes; V04",PLANNED,
DAT-04,P1,Immutable raw logs; derived data records transformation version and parent hashes,Same manifest and code reproduce the same processed dataset within declared platform tolerances,PLANNED,
PHY-01,P0,One tested rigid-body kernel serves twin prediction and RL/SITL wrappers,Correct NED/FRD gravity and thrust; full inertia Euler equation; V01,PLANNED,
PHY-02,P1,"Explicit actuator model maps applied motor command and voltage to RPM, thrust and reaction torque",Measured delay/lag/saturation and rotor mapping; payload mass does not magically scale motor capability; V03,PLANNED,
PHY-03,P1,Propeller model offers measured-map baseline and BEMT with validity/convergence reporting,Genuine matched UIUC/bench comparison; unsupported conditions fail visibly; V03,PLANNED,
PHY-04,P2,CFD produces traceable offline aerodynamic data,"Correct dimensions/reference quantities, mesh/time/iteration studies and independent benchmark; V08",PLANNED,
PHY-05,P2,Assembled frame model includes joints and installed masses with stated material limitations,Static and modal correlation to manufactured article; V09,PLANNED,
ENG-01,P1,"ECM/SOC/thermal pack model uses actual chemistry, topology and measured parameters",Correct voltage field and pack scaling; independent pulse/flight profiles; V07,PLANNED,
ENG-02,P1,Energy forecast integrates electrical power over a declared future duty cycle or mission policy,Separate retrospective and prospective evaluations; V11,PLANNED,
ENG-03,P2,"Configuration trade tool compares payload, propeller, battery and arm/frame alternatives",Uncertainty-aware feasible design comparison plus at least one physical confirmation; V12,PLANNED,
EST-01,P0,"Estimator uses documented specific-force, gravity, quaternion and magnetic-field equations","Known-heading correction, IMU bias, innovation-gate and covariance tests; V01/V05",PLANNED,
EST-02,P1,"Reference truth is independent where claimed; correlated estimates are labelled as agreement, not truth",Report schema lists reference instrument and uncertainty; V05,PLANNED,
ID-01,P0,Only identifiable parameter subsets may update,Rank/conditioning or excitation gate blocks unobservable mass/thrust separation; V06,PLANNED,
ID-02,P1,Offline fitting precedes online adaptation; calibration/test split is by run/configuration,No row-wise leakage from the same flight; fixed baseline retained; V06/V11,PLANNED,
ID-03,P2,"Candidate parameter versions are bounded, validated and promoted atomically",Stale/faulted/OOD data freeze updates; rollback on failed holdout and divergence; V06/V10,PLANNED,
UQ-01,P1,"Predictions carry uncertainty, method, interval level and applicability","Calibration/coverage and interval width reported on holdout, with sample limitations",PLANNED,
UQ-02,P1,"Unknown, stale, outside-domain and insufficient-excitation are first-class states",Dashboard/report cannot render these as healthy green scores; V10,PLANNED,
HLT-01,P2,"Residual-based condition flags are tested as hypotheses, not definitive fault diagnoses","False alarms, missed detections and delay on labelled scenarios; no RUL without longitudinal evidence; V10",PLANNED,
INT-01,P1,"Deterministic CLI supports import, calibrate, replay, validate and report",Clean-environment example returns artifact paths and meaningful exit codes,PLANNED,
INT-02,P2,One real PX4/MAVLink integration replaces serialization-only dispatch claims,Peer decodes messages; heartbeat/mode/setpoint handling proven in SITL; V13,PLANNED,
SAF-01,P0,Read-only/offline operation is default; experimental actuation is explicit opt-in,No armed hardware command from default examples/tests; V10/V13,PLANNED,
SAF-02,P2,"Safety gateway checks vehicle ID, finite/ranged values, frame, freshness and allowed state transitions","Link loss/stale setpoint uses configured autopilot behaviour, never blindly disarms in flight; V13",PLANNED,
UI-01,P1,"Engineering cockpit shows physical estimate, prediction, aligned residual, forecast interval, domain and evidence level","Every plot exposes units, time basis, source, asset and model version",PLANNED,
UI-02,P1,Single command exports a professional benchmark/design-review report,"Figures include conditions, uncertainty, counts, failures and reproducibility command",PLANNED,
REP-01,P0,"README and metadata distinguish implemented, tested, calibrated and validated capabilities",Remove static production claims and unsupported performance/compatibility labels,PLANNED,
REP-02,P1,"Tagged release includes technical report, data manifest, environment, licensing and contribution record",External reader can inspect and reproduce the central claim,PLANNED,
